"id","shortcode","type","is_video","dimension.height","dimension.width","display_url","thumbnail_src","owner.id","owner.username","description","comments","likes","comments_disabled","taken_at_timestamp","location","hashtags","mentions","tagged_users","video_url","views"
"2959595387632682344","CkSmFMOuwVo","GraphSidecar",false,1347,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/313063481_647940660375262_3309286504075387903_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=7n0-j0H4FF8AX_Pl3Jg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLeYlIGUMeA6TPq_8o6XCp5aHcpXACGgy8s5tCqaTkYA&oe=63A4205A&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/313063481_647940660375262_3309286504075387903_n.jpg?stp=c0.178.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=7n0-j0H4FF8AX_Pl3Jg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDbVG1OHz13jCIfSivQXoUFX9jryY0OFm3iJ3LQ32SdRw&oe=63A4205A&_nc_sid=86f79a","11386236651","official.usu","Halo #SobatUSU 

Prestasi membanggakan diraih Universitas Sumatera Utara (USU) pada ajang Pekan Seni Mahasiswa Nasional (Peksiminas) XVI Tahun 2022 yang diselenggarakan di Malang, Jawa Timur, yakni:

1. Juara I Lomba Baca Puisi
2. Juara I Lomba Komik Strip
3. Juara II Vokal Group 

Selamat kepada para pemenang yang telah mengharumkan nama USU. Yuk, #SobatUSU sampaikan ucapan selamat dan dukungan di kolom komentar ya!

#universitassumaterautara #transformationtowardstheultimate #kampusmerdeka #peksiminas2022",26,3548,false,1667031285,,"[""#SobatUSU"",""#SobatUSU"",""#universitassumaterautara"",""#transformationtowardstheultimate"",""#kampusmerdeka"",""#peksiminas2022""]","[]","[]",,
"2959552439526939934","CkScUNsJN0e","GraphSidecar",false,937,750,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/313074190_1171644493768036_6605532700408005496_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ftymUkKc4kkAX-r--g2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIoCyv7COfSY721VdRHpcg5RBWEq5gkGVQF4YfWfUfdw&oe=63A09FBF&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/313074190_1171644493768036_6605532700408005496_n.jpg?stp=c0.90.720.720a_dst-jpg_e15_s640x640&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ftymUkKc4kkAX-r--g2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAtmwFutEZB3hTa7MFFvlxDNWENWhnibuPdviVfl67glA&oe=63A09FBF&_nc_sid=86f79a","11386236651","official.usu","Selamat kepada Universitas Sumatera Utara (USU) meraih penghargaan Pejabat Pengelola Informasi dan Dokumentasi (PPID) Terbaik dengan predikat Silver Winner, serta Majalah Cetak dengan predikat Bronze Winner.

Semoga menjadi motivasi untuk meraih prestasi. Yuk, Sobat USU sampaikan ucapan dan harapan kamu di kolom komentar ya!

#transformationtowardstheultimate #universitassumaterautara #kampusmerdeka",11,2069,false,1667026165,,"[""#transformationtowardstheultimate"",""#universitassumaterautara"",""#kampusmerdeka""]","[]","[{""user"":{""full_name"":""HUMAS INDONESIA"",""id"":""9472593056"",""is_verified"":false,""profile_pic_url"":""https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-19/68927744_2381571071955806_3000131589372903424_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=nZPxMCfUqswAX-cObNl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC64dNVCCtmwZmA-jd8smVABV0V0PmVX6odnEvCnKgDgA&oe=63A4323D&_nc_sid=86f79a"",""username"":""humas_indonesia""},""x"":0,""y"":0}]",,
"2958888929564233121","CkQFc34gw2h","GraphVideo",true,1920,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312983904_864585704905468_8050867536510166822_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MjKs6Ld6Lm4AX-JB-h4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC6wNGvwMS9arx5jq2NCvkutRa2N9NJEdepxGrdEeZZ8w&oe=63A0DAF3&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312983904_864585704905468_8050867536510166822_n.jpg?stp=c0.875.2250.2250a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MjKs6Ld6Lm4AX-JB-h4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDx-vKkc1CI0NX5Za8XVb6-BpWYLHMmi_J7eNGWSmyQAw&oe=63A0DAF3&_nc_sid=86f79a","11386236651","official.usu","Sumpah Pemuda 28 Oktober 1928 memberikan pelajaran kepada kita
bagaimana menyikapi perbedaan sikap primordial, suku, agama, ras dan
kultur, serta berbagai kepentingan menjadi kekuatan, bukan sebagai faktor
yang melemahkan.

Ayo Pemuda Indonesia, “Bersatu Bangun Bangsa”!

Memperingati Sumpah Pemuda ke-94 pada 28 Oktober 2022

#TransformationTowardstheUltimate
#UniversitasSumateraUtara
#MerdekaBelajar
#KampusMerdeka",5,1935,false,1666947121,,"[""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[]","[]","https://instagram.fkno1-1.fna.fbcdn.net/v/t50.2886-16/10000000_3430580943840986_8698312451745513641_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=IkLvBMlpey0AX_MUGyj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD8Dyd6Lbu5NTx3Zos0rDfXgUkq8mDA7DtE8kict1nWNA&oe=63A0BE2F&_nc_sid=86f79a",15868
"2958760290581660031","CkPoM7fpsF_","GraphImage",false,1347,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312904487_2589472901184151_4899067653229738413_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2aZc9YcKUxIAX8n2mKI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBzfrZ_aLacVgQPb9jgPE2wxfS2ZgHtQYJX96rDBwXJpw&oe=63A3E5E0&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312904487_2589472901184151_4899067653229738413_n.jpg?stp=c0.178.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2aZc9YcKUxIAX8n2mKI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD-9Fko83JNC5aC2LM5VHLsyOxrGQF55mhvOtm1UuHbQQ&oe=63A3E5E0&_nc_sid=86f79a","11386236651","official.usu","Memperingati Hari Sumpah Pemuda! Ayo kobarkan semangatmu generasi muda, demi kemajuan Indonesia.

#TransformationTowardstheUltimate
#UniversitasSumateraUtara
#MerdekaBelajar
#KampusMerdeka",2,1050,false,1666931733,,"[""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[]","[]",,
"2957989931380903288","CkM5CulJA14","GraphVideo",true,1920,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312800841_1252625735311523_7235192540158709763_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=mRLf0dRx8xIAX8wRU6k&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCN9inlTaTvw8igb2Irob59F4lakZ-ElPpnnLYk7Ce6ew&oe=63A07DBB&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312800841_1252625735311523_7235192540158709763_n.jpg?stp=c0.875.2250.2250a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=mRLf0dRx8xIAX8wRU6k&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC2LfosG-C0GBYFCjOkTQXFOXrBh-X6INOJr_rKYUT16g&oe=63A07DBB&_nc_sid=86f79a","11386236651","official.usu","Hey hey.. semangat UTSan ya #SobatUSU

#universitassumaterautara #transformationtowardstheultimate #kampusmerdeka",17,3109,false,1666839987,,"[""#SobatUSU"",""#universitassumaterautara"",""#transformationtowardstheultimate"",""#kampusmerdeka""]","[]","[]","https://instagram.fkno1-1.fna.fbcdn.net/v/t50.2886-16/313124451_640146261093872_7656731691824579615_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=aJaDYyjiQMEAX8WGSWX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCen9ctmWqPE3FkPxia6YzIDrg42nX1TiTOIok_W34B-A&oe=63A0C65B&_nc_sid=86f79a",26130
"2956110532964622127","CkGNt4aJZ8v","GraphVideo",true,1920,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/305167088_440996721479136_6393842408116521086_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MYYiIJpsLIIAX9YqC_j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAb31-jvRibDMV_d4mh6K9XxYsf0IZtn23rpyDh5fK-BQ&oe=63A0DA3D&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/305167088_440996721479136_6393842408116521086_n.jpg?stp=c0.875.2250.2250a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MYYiIJpsLIIAX9YqC_j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0YGdk6JfBCCXOEyUmwkMJa8s8aFOomR9uLhL-BaYHHg&oe=63A0DA3D&_nc_sid=86f79a","11386236651","official.usu","Halo #SobatUSU

Selamat hari Senin ya! Tetap semangat dalam beraktivitas dan jangan lupa menjaga kesehatan ya!

Nah, kali ini bakal ditemenin sama @rizhakim17 yang akan memberikan kamu informasi seputar USU dalam seminggu terakhir. Mulai dari Tim Kampus Sehat USU Optimistis Raih Hasil Maksimal sampai dengan Presiden Joko Widodo Apresiasi USU yang Ciptakan SDM Unggul. Berikut adalah USU Dalam Seminggu. 

#TransformationTowardstheUltimate
#UniversitasSumateraUtara
#MerdekaBelajar
#KampusMerdeka",2,902,false,1666615918,,"[""#SobatUSU"",""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[""@rizhakim17""]","[]","https://instagram.fkno1-1.fna.fbcdn.net/v/t50.2886-16/10000000_3296250913978339_3427758626948201748_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=LC2l1D1VNsoAX-0eqeC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7k_rE-6WAV8jXJEBpzxq4XsqTNgQ1fCkNEHOgrKvJ4w&oe=63A0D074&_nc_sid=86f79a",9105
"2955955318820481589","CkFqbN-OKo1","GraphImage",false,1350,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312645149_1136893803925606_3044000984659940288_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=sunyWKqn14IAX_mbgtj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAmt15KRTi3F_itfvBBZKw1fH65Lgl8NJ39sDk1_1KPhA&oe=63A3DA16&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312645149_1136893803925606_3044000984659940288_n.webp?stp=c0.135.1080.1080a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=sunyWKqn14IAX_mbgtj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBrD4OWSaagMTzWsIvrol-R2gdDEbAkYddKkzIjzR6a7w&oe=63A3DA16&_nc_sid=86f79a","11386236651","official.usu","Selamat memperingati Hari Dokter Nasional kepada seluruh dokter di Indonesia.

Tetap memberikan pelayanan terbaik dalam mengamalkan Hippocratic Oath, dan menjadi garda terdepan memelihara kesehatan bangsa.
#TransformationTowardstheUltimate 
#UniversitasSumateraUtara 
#MerdekaBelajar 
#KampusMerdeka",5,1664,false,1666597355,,"[""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[]","[]",,
"2955331806337380866","CkDcp6uJzIC","GraphVideo",true,1137,640,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312263330_1873953049602941_2254916626114207664_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7k7MIvCkgy0AX8kIYSk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlCr0ePZTpp4SiKXD1IjktUmCraY5MoU8GPZchrIlICA&oe=63A0C5CD&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312263330_1873953049602941_2254916626114207664_n.jpg?stp=c0.210.540.540a_dst-jpg_e15&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7k7MIvCkgy0AX8kIYSk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJl_w9npj0IABkdeGe2Ifg69_hwvF3YtN-oHmAFer4fw&oe=63A0C5CD&_nc_sid=86f79a","11386236651","official.usu","#SobatUSU!
#KedanUKM kembali untuk kamu dimana seperti biasa akan mengenalkan kamu kepada UKM-UKM yang ada di USU. Kali ini kita kenal dekat dengan @atc_usu, yang suka panahan, bisa langsung cek video diatas ya!
#TransformationTowardstheUltimate
#UniversitasSumateraUtara
#MerdekaBelajar
#KampusMerdeka",16,1731,false,1666523076,,"[""#SobatUSU"",""#KedanUKM"",""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[""@atc_usu""]","[{""user"":{""full_name"":""UKM Panahan USU"",""id"":""3035424082"",""is_verified"":false,""profile_pic_url"":""https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-19/12816983_1565650180431176_922258077_a.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=hvpPQzpbh0kAX_BZuRf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBnh_qwchNCYaYB-nVPgtxXxeYMSX7d_6rCrGlVZHjaBw&oe=63A339B5&_nc_sid=86f79a"",""username"":""atc_usu""},""x"":0,""y"":0}]","https://instagram.fkno1-1.fna.fbcdn.net/v/t66.30100-16/10000000_3297675207225995_6370468257425644470_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=shhifIi-DvQAX8m2yuu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnpWPSrdozqOQL2z-prSkNP-NUdaIv3h4DVYfZ6JgAnQ&oe=63A0B4B7&_nc_sid=86f79a",15958
"2955174859130797726","CkC4-CPp_6e","GraphVideo",true,1137,640,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312170237_152543124142461_6839201300833411960_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=OP-Y9yh3vvQAX_km7jl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAQh416F0-SikALQrvNySLtD_TR7wEA4CvTSLoSpcedvQ&oe=63A0E295&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/312170237_152543124142461_6839201300833411960_n.jpg?stp=c0.210.540.540a_dst-jpg_e15&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=OP-Y9yh3vvQAX_km7jl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA5qDHqcfA92FirQ9jcibGOUT5Pdr7CK8UmL-daaeFUmA&oe=63A0E295&_nc_sid=86f79a","11386236651","official.usu","Pelaksanaan Sidang Terbuka Dies Natalis ke-70 Universitas Sumatera Utara berjalan lancar dan khidmat.

Sambutan oleh Presiden Republik Indonesia @jokowi, Orasi ilmiah oleh @anindyabakrie yang memberi gambaran baru mengenai perkembangan ekonomi dunia, serta juga dihadiri oleh Gubernur Sumatera Utara @edy.rahmayadi serta Walikota Medan @bobbynst secara langsung. 

Mengusung tema “Towards Enterpreneural University”, USU berkomitmen menciptakan lulusan berkompeten serta memiliki daya saing di dunia industri
#TransformationTowardstheUltimate 
#UniversitasSumateraUtara 
#MerdekaBelajar 
#KampusMerdeka",14,5100,false,1666504392,,"[""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[""@jokowi"",""@anindyabakrie"",""@edy"",""@bobbynst""]","[]","https://instagram.fkno1-1.fna.fbcdn.net/v/t50.2886-16/10000000_341296451546818_8447328968521202972_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=h_WIlafN4WcAX9I0O_K&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBz8oml5IRLmLI77t_RN962hAEdVdPDiPtzy_je5beYng&oe=63A0D653&_nc_sid=86f79a",30206
"2952213249843800131","Cj4Xk8qJChD","GraphVideo",true,1920,1080,"https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/311875573_141414141702577_4990166265308385391_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=tnrmowDr8isAX9gooJx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDoCDV6jWFLxPeaLoWV4-hMHWS0Wl8fTjseNim4ugHvPg&oe=63A1015F&_nc_sid=86f79a","https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-15/311875573_141414141702577_4990166265308385391_n.jpg?stp=c0.875.2250.2250a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=tnrmowDr8isAX9gooJx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBW5tHFyRnTmE9bn-mjyn9MqMnzihPbZxBXmEINHdwPcw&oe=63A1015F&_nc_sid=86f79a","11386236651","official.usu","#SobatUSU!
Masih dalam rangkaian Dies Natalis ke-70 USU, besok pada Kamis 20 Oktober 2022 bakal ada Sidang Terbuka nih di Auditorium USU, bakal ada orasi ilmiah @anindyabakrie , Pidato Dies Natalis ke-70 oleh rektor @muryantoamin dan Sambutan dari Bapak Presiden RI @jokowi. Jangan lupa datang ya!
#TransformationTowardstheUltimate
#UniversitasSumateraUtara
#MerdekaBelajar
#KampusMerdeka",13,1767,false,1666151446,,"[""#SobatUSU"",""#TransformationTowardstheUltimate"",""#UniversitasSumateraUtara"",""#MerdekaBelajar"",""#KampusMerdeka""]","[""@anindyabakrie"",""@muryantoamin"",""@jokowi""]","[{""user"":{""full_name"":""Joko Widodo"",""id"":""2289707047"",""is_verified"":true,""profile_pic_url"":""https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-19/313882100_3453810931502851_7728194866820784698_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=xqB8cTKqAZAAX83Mc43&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAbXtQj5DV2I1yyCiQbwOTkRlb4R7kdlxQpRaz-41LNyw&oe=63A40245&_nc_sid=86f79a"",""username"":""jokowi""},""x"":0,""y"":0},{""user"":{""full_name"":""Anindya Bakrie"",""id"":""1474613046"",""is_verified"":true,""profile_pic_url"":""https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-19/191877176_3526961850862463_7541477850624359981_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=dR3E8fKDZzgAX9sH4Dr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfADBDJC39iPq5Dlu52cQGLv4OHcYgQvuFZdTRang6zCsA&oe=63A407C0&_nc_sid=86f79a"",""username"":""anindyabakrie""},""x"":0,""y"":0},{""user"":{""full_name"":""Muryanto Amin"",""id"":""1116674806"",""is_verified"":false,""profile_pic_url"":""https://instagram.fkno1-1.fna.fbcdn.net/v/t51.2885-19/153333641_359171661748446_6821251482348788051_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=4XyM3_gkrXQAX99Q95x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB-YLZDD7Xx-F2Q1r1c372AVU6WjSSGtiY_CJk9A0Mwuw&oe=63A3C538&_nc_sid=86f79a"",""username"":""muryantoamin""},""x"":0,""y"":0}]","https://instagram.fkno1-1.fna.fbcdn.net/v/t50.2886-16/312102418_378305244424104_3761654917129076847_n.mp4?_nc_ht=instagram.fkno1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=63PjSRGrm38AX_mlIyW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxdxPARlz8UIbQJPV_4J3gPY2jXdFWWoxQq1XBoI22Zg&oe=63A0A29A&_nc_sid=86f79a",24404
